plot,latitude,longitude,trap,year,monthPitfallStart,dayPitfallStart,monthPitfallEnd,dayPitfallEnd,isopodCount
002A,41.24757333,70.12122,1,2008,5,27,6,3,62
002A,41.24757333,70.12122,2,2008,5,27,6,3,68
002A,41.24757333,70.12122,3,2008,5,27,6,3,9
002A,41.24757333,70.12122,4,2008,5,27,6,3,14
002A,41.24757333,70.12122,5,2008,5,27,6,3,41
002A,41.24757333,70.12122,6,2008,5,27,6,3,21
002A,41.24757333,70.12122,7,2008,5,27,6,3,22
005A,41.24834,70.12166833,1,2008,5,27,6,3,197
005A,41.24834,70.12166833,2,2008,5,27,6,3,67
005A,41.24834,70.12166833,3,2008,5,27,6,3,21
005A,41.24834,70.12166833,4,2008,5,27,6,3,22
005A,41.24834,70.12166833,5,2008,5,27,6,3,18
005A,41.24834,70.12166833,6,2008,5,27,6,3,11
005A,41.24834,70.12166833,7,2008,5,27,6,3,13
014A,41.25021,70.11985167,1,2008,5,27,6,3,5
014A,41.25021,70.11985167,2,2008,5,27,6,3,1
014A,41.25021,70.11985167,3,2008,5,27,6,3,2
014A,41.25021,70.11985167,4,2008,5,27,6,3,5
014A,41.25021,70.11985167,5,2008,5,27,6,3,2
014A,41.25021,70.11985167,6,2008,5,27,6,3,15
014A,41.25021,70.11985167,7,2008,5,27,6,3,9
018A,41.25295833,70.12582167,1,2008,5,27,6,3,11
018A,41.25295833,70.12582167,2,2008,5,27,6,3,28
018A,41.25295833,70.12582167,3,2008,5,27,6,3,36
018A,41.25295833,70.12582167,4,2008,5,27,6,3,10
018A,41.25295833,70.12582167,5,2008,5,27,6,3,226
018A,41.25295833,70.12582167,6,2008,5,27,6,3,9
018A,41.25295833,70.12582167,7,2008,5,27,6,3,192
019A,41.25284,70.12584667,1,2008,5,27,6,3,21
019A,41.25284,70.12584667,2,2008,5,27,6,3,26
019A,41.25284,70.12584667,3,2008,5,27,6,3,42
019A,41.25284,70.12584667,4,2008,5,27,6,3,95
019A,41.25284,70.12584667,5,2008,5,27,6,3,15
019A,41.25284,70.12584667,6,2008,5,27,6,3,75
019A,41.25284,70.12584667,7,2008,5,27,6,3,116
021A,41.25224,70.12616333,1,2008,5,27,6,3,33
021A,41.25224,70.12616333,2,2008,5,27,6,3,80
021A,41.25224,70.12616333,3,2008,5,27,6,3,33
021A,41.25224,70.12616333,4,2008,5,27,6,3,78
021A,41.25224,70.12616333,5,2008,5,27,6,3,77
021A,41.25224,70.12616333,6,2008,5,27,6,3,58
021A,41.25224,70.12616333,7,2008,5,27,6,3,71
022A,41.25017833,70.13524,1,2008,5,27,6,3,243
022A,41.25017833,70.13524,2,2008,5,27,6,3,433
022A,41.25017833,70.13524,3,2008,5,27,6,3,257
022A,41.25017833,70.13524,4,2008,5,27,6,3,702
022A,41.25017833,70.13524,5,2008,5,27,6,3,734
022A,41.25017833,70.13524,6,2008,5,27,6,3,191
022A,41.25017833,70.13524,7,2008,5,27,6,3,902
031A,41.251185,70.13405167,6,2008,5,27,6,3,56
031A,41.251185,70.13405167,1,2008,5,27,6,3,39
031A,41.251185,70.13405167,2,2008,5,27,6,3,84
031A,41.251185,70.13405167,3,2008,5,27,6,3,51
031A,41.251185,70.13405167,4,2008,5,27,6,3,75
031A,41.251185,70.13405167,5,2008,5,27,6,3,166
031A,41.251185,70.13405167,7,2008,5,27,6,3,90
037A,41.25283833,70.13183167,1,2008,5,27,6,3,11
037A,41.25283833,70.13183167,2,2008,5,27,6,3,43
037A,41.25283833,70.13183167,3,2008,5,27,6,3,15
037A,41.25283833,70.13183167,4,2008,5,27,6,3,5
037A,41.25283833,70.13183167,5,2008,5,27,6,3,35
037A,41.25283833,70.13183167,6,2008,5,27,6,3,70
037A,41.25283833,70.13183167,7,2008,5,27,6,3,20
040A,41.24924167,70.13093833,1,2008,5,27,6,3,2
040A,41.24924167,70.13093833,2,2008,5,27,6,3,1
040A,41.24924167,70.13093833,3,2008,5,27,6,3,2
040A,41.24924167,70.13093833,4,2008,5,27,6,3,0
040A,41.24924167,70.13093833,5,2008,5,27,6,3,0
040A,41.24924167,70.13093833,6,2008,5,27,6,3,0
040A,41.24924167,70.13093833,7,2008,5,27,6,3,8
051A,41.249685,70.13051167,1,2008,5,27,6,3,5
051A,41.249685,70.13051167,2,2008,5,27,6,3,4
051A,41.249685,70.13051167,3,2008,5,27,6,3,4
051A,41.249685,70.13051167,4,2008,5,27,6,3,32
051A,41.249685,70.13051167,5,2008,5,27,6,3,13
